source,case,arm,layout,width,fraction_bits,degree,reductions,status,deterministic_upper,ae_size,a_calls,conservative_cx,control_cancelled_cx,a_qubits,total_qubits
primary,D2,range_reduced,reused,48,20,12,3,ideal_plan,0.19625377997691549970501771033340382942619792044489948438642428312470280291143846,2048,69615,30111252247825,3515711367867,1723,3455
primary,D2,range_reduced,retained,48,20,16,1,ideal_plan,0.19044549797343086923712613630794906463916956487527356739479023708534310237244244,2048,69615,25132386915181,2935136744727,4513,9035
primary,D2,range_reduced,reused,48,20,16,1,ideal_plan,0.19044549797343086923712613630794906463916956487527356739479023708534310237244244,2048,69615,25131784335697,2934534165243,1627,3263
primary,D2,range_reduced,retained,48,20,16,2,ideal_plan,0.19126624056800665840444081635975203730714696908937044304031089246152680993163021,2048,69615,27622150937581,3225755412375,4705,9419
primary,D2,range_reduced,reused,48,20,16,2,ideal_plan,0.19126624056800665840444081635975203730714696908937044304031089246152680993163021,2048,69615,27621518291761,3225122766555,1675,3359
primary,D2,range_reduced,retained,48,20,16,3,ideal_plan,0.19625378000374797428827756780372102840594401051731870301590973208116225006849384,2048,69615,30111914959981,3516374080023,4897,9803
primary,D2,range_reduced,reused,48,20,16,3,ideal_plan,0.19625378000374797428827756780372102840594401051731870301590973208116225006849384,2048,69615,30111252247825,3515711367867,1723,3455
primary,D2,range_reduced,retained,40,24,8,1,ideal_plan,0.17532919498203734049849407397526031567485054936214475520029073916771314679448313,2048,69615,15785106026557,1843938093543,3637,7283
primary,D2,range_reduced,reused,40,24,8,1,ideal_plan,0.17532919498203734049849407397526031567485054936214475520029073916771314679448313,2048,69615,15784628723473,1843460790459,1351,2711
primary,D2,range_reduced,retained,40,24,8,2,ideal_plan,0.17485916472765190056368892303788034330674696060351405923344345509930185846229161,2048,69615,17517811540477,2046200290983,3797,7603
primary,D2,range_reduced,reused,40,24,8,2,ideal_plan,0.17485916472765190056368892303788034330674696060351405923344345509930185846229161,2048,69615,17517309182113,2045697932619,1391,2791
primary,D2,range_reduced,retained,40,24,8,3,ideal_plan,0.17516862238661704859019341384425660053802706417274344426344382353845450192882796,2048,69615,19250517054397,2248462488423,3957,7923
primary,D2,range_reduced,reused,40,24,8,3,ideal_plan,0.17516862238661704859019341384425660053802706417274344426344382353845450192882796,2048,69615,19249989640753,2247935074779,1431,2871
